    2     5     4.754276176478917e+06
   -1.946861030831248e+06     3.466755326606405e+06     3.318064098884963e+06    -2.022541739446533e+06
   -3.194821559260857e+03     1.610341217030958e+05     6.653510807494008e+03    -1.676182108199611e+05
   -4.297502137712511e+00     5.907285762749364e+03     8.952581631955500e+00    -6.153043298116445e+03
   -5.778795889148681e-03     2.166148672731455e+02     1.203899544460975e-02    -2.256483267707010e+02
   -7.536111765206299e-06     7.656827074796709e+00     1.613855688985912e-05    -8.578097024537158e+00
    2     5     1.929359655736823e+05
   -1.166555857792123e+05     1.643367718523635e+05     1.505030088371715e+05    -5.259160857469719e+04
   -7.514143203926686e+02     1.615703144671552e+04     1.264161757745586e+03    -1.356170840398750e+04
   -3.735604646002479e+00     1.140431725572104e+03     6.293858648115211e+00    -9.607057064381456e+02
   -1.853137934183301e-02     8.033020123555853e+01     3.124454004433670e-02    -6.770929837956629e+01
   -8.235334290060451e-05     5.300406238408231e+00     1.517929579459690e-04    -5.110489998965694e+00
    2     5     2.352699225192334e+04
   -1.862211631189100e+04     2.163767382592681e+04     1.878579439536142e+04    -2.830082326877334e+03
   -3.034717531824400e+02     3.631659031140577e+03     4.264339341259439e+02    -2.533758290280452e+03
   -3.608328744822498e+00     3.973734595337082e+02     5.092612048899103e+00    -2.803844017083945e+02
   -4.255372563255384e-02     4.321103903220411e+01     6.029749726793857e-02    -3.053576668190605e+01
   -3.938722873497464e-04     4.296822012346186e+00     6.694655782523798e-04    -3.701416529003495e+00
    2     5     1.765915008963304e+03
   -1.947377806674931e+03     1.674466524728663e+03     1.288627566572213e+03     1.953118537029985e+02
   -1.047929084361665e+02     5.865023929298897e+02     1.095143820548338e+02    -2.966666335909262e+02
   -3.762497415441033e+00     1.128940039023474e+02     4.006000061451483e+00    -5.996285636016435e+01
   -1.288451256862734e-01     2.122897595164211e+01     1.415274613924904e-01    -1.130840867511528e+01
   -2.382903724382977e-03     3.517696741585170e+00     3.931476553003528e-03    -2.604882313795629e+00
    2     5     1.000579208201004e+02
   -1.547238643537001e+02     8.105637703696272e+01     4.609342039725342e+01     3.201479941137274e+01
   -3.406686599486403e+01     7.481751505704190e+01     2.041059397555925e+01    -1.755755921707144e+01
   -4.504086450290978e+00     3.029656991427235e+01     3.067084432942332e+00    -9.516725097319602e+00
   -4.145553155245011e-01     1.117658457886601e+01     3.731958350013732e-01    -3.572807519232854e+00
   -6.486243326569170e-03     3.165000076234382e+00     1.315295794894268e-02    -2.048979911103968e+00
    2     5     1.209274548499165e+01
   -2.554090010277767e+01     8.638640679328239e+00     3.033611448442282e+00     4.764487587422160e+00
   -1.246440939244841e+01     1.609925983411248e+01     4.183144608690097e+00     1.482503127170896e-01
   -2.525722116114511e+00     1.336080612620282e+01     2.076676551343867e+00    -1.223030987690861e+00
    1.081718564305512e-01     9.270389934959379e+00    -5.341903753127276e-02    -1.689775951588069e+00
    9.225429531107947e-05     3.141649048770424e+00    -3.135698211663160e-04    -2.000162109432435e+00
    2    10     1.290985308157311e+06
   -1.580972615908010e+06     1.203561258897960e+06     8.701120180884706e+05     2.402813672182368e+05
   -1.278275496987531e+05     5.503393895202582e+05     1.175901570695602e+05    -2.394756773944366e+05
   -6.698848876743868e+03     1.291650688368753e+05     6.337463238907602e+03    -6.093413403216130e+04
   -3.418913221857892e+02     2.921746870195993e+04     3.239120631959876e+02    -1.383859994824320e+04
   -1.742544928216568e+01     6.596580351519240e+03     1.651030185618987e+01    -3.125047689860075e+03
   -8.880680791697854e-01     1.489201251999560e+03     8.414388270961817e-01    -7.054973718325768e+02
   -4.525215306773906e-02     3.361928044929759e+02     4.288318148496536e-02    -1.592667565848489e+02
   -2.298812720870707e-03     7.590558678879101e+01     2.185485516150124e-03    -3.595060328223087e+01
   -1.100909893889450e-04     1.716220242977646e+01     1.110150185677044e-04    -8.117993876151560e+00
   -2.289831112613212e-06     3.360647540251634e+00     3.870864037752220e-06    -2.371501741456056e+00
    2    10     1.011393241376369e+05
   -1.428603078252365e+05     8.854625242936362e+04     5.660149505805381e+04     2.811926983163520e+04
   -2.096982075063316e+04     6.088418821626271e+04     1.533514053977184e+04    -1.962129774604957e+04
   -1.928152539915390e+03     1.943088566651270e+04     1.490363817974273e+03    -7.435596941967240e+03
   -1.686646753695693e+02     5.772668827112795e+03     1.310048542130718e+02    -2.239951076563770e+03
   -1.468849355918116e+01     1.704216565544883e+03     1.141375733465775e+01    -6.620771714240800e+02
   -1.278554065937448e+00     5.028496502931816e+02     9.936511611577747e-01    -1.953707146259180e+02
   -1.111599977344547e-01     1.483790496092092e+02     8.649872984867023e-02    -5.763767097170560e+01
   -9.537726369604812e-03     4.383014383939805e+01     7.529090987797448e-03    -1.698662423589999e+01
   -7.037281719416144e-04     1.305469865817097e+01     6.439158240058465e-04    -5.009045346064647e+00
   -1.421408210600723e-05     3.215478433048512e+00     2.611935108885642e-05    -2.139547045657126e+00
    2    10     1.770766131099239e+04
   -2.735487926298620e+04     1.430831195405075e+04     8.137790793302991e+03     5.650698761644630e+03
   -6.052868944139718e+03     1.319995629014940e+04     3.603512235862979e+03    -3.103027570633254e+03
   -8.332473897685190e+02     5.323088658739502e+03     5.417765597007763e+02    -1.688126686747975e+03
   -1.064222880882963e+02     1.922595865092381e+03     6.997870141348011e+01    -6.301622624525596e+02
   -1.345888836775062e+01     6.846647159118429e+02     8.863287854229052e+00    -2.253290314681059e+02
   -1.699046933802864e+00     2.433981937143934e+02     1.119811581063546e+00    -8.013481424618158e+01
   -2.135110433905035e-01     8.654964106249528e+01     1.414348171048943e-01    -2.846599076368053e+01
   -2.589746005590427e-02     3.088642287785381e+01     1.785365037973103e-02    -1.007802731807097e+01
   -2.357685107190892e-03     1.120947014647582e+01     2.124014496053039e-03    -3.602552308819546e+00
   -3.704363969261008e-05     3.165754611818758e+00     7.498359129652677e-05    -2.050381159183316e+00
    2    10     1.309935703693513e+03
   -2.274457093148581e+03     8.568804108514295e+02     3.766119122544866e+02     4.288970428869044e+02
   -9.187129229487347e+02     1.241847095125482e+03     3.500773456138319e+02    -1.070948056163151e+02
   -2.417599090810289e+02     7.546960297935219e+02     1.096326999220600e+02    -1.535266579530764e+02
   -5.614604098767667e+01     3.778615998140903e+02     2.648933059164146e+01    -8.710117864869949e+01
   -1.263601231666925e+01     1.810151451948116e+02     6.026108975876521e+00    -4.281107786365286e+01
   -2.804984046956645e+00     8.593503637047091e+01     1.352377667258937e+00    -2.039245273804895e+01
   -6.020694504085211e-01     4.087468806042249e+01     3.025591460325434e-01    -9.609751665571704e+00
   -1.101531568024575e-01     1.975481603753779e+01     6.679308594421993e-02    -4.471462469775012e+00
   -9.249622639135294e-03     9.713004727279520e+00     9.879394028859808e-03    -2.332857725660222e+00
   -5.098768728747187e-05     3.142848009151120e+00     1.261386207797346e-04    -2.003158096401944e+00
    2    10     3.172305323816737e+02
   -5.809205613865953e+02     1.712116651384128e+02     6.077593094379878e+01     9.420513079285334e+01
   -3.192914878221479e+02     3.157981973922744e+02     8.348916402748404e+01     9.929637216513899e-01
   -1.228707736463758e+02     2.502456547118489e+02     4.119366193170025e+01    -3.171509381847607e+01
   -4.073432649941893e+01     1.556500960342447e+02     1.479181796837569e+01    -2.611492948096926e+01
   -1.273734591445475e+01     8.975596322505282e+01     4.792005490178411e+00    -1.616552764687287e+01
   -3.813186932424677e+00     5.072137998496303e+01     1.503225379305250e+00    -9.235793010792859e+00
   -1.027939809349396e+00     2.878927093668447e+01     4.660631616769804e-01    -5.101101538909798e+00
   -1.846368604191310e-01     1.676449656605937e+01     1.274852078225833e-01    -2.818387233161705e+00
   -8.323591044985035e-03     9.459938671536779e+00     1.149867943559144e-02    -2.051749410099756e+00
   -1.505288530203722e-05     3.141645614487579e+00     4.246018475094892e-05    -2.000150776505864e+00
    2    15     2.166546948895497e+06
   -3.385879641866369e+06     1.726210205061707e+06     9.635623239800008e+05     6.993662871740375e+05
   -7.922212469180174e+05     1.658903021713648e+06     4.565627974088923e+05    -3.690014177845073e+05
   -1.154176033095820e+05     6.921301461044513e+05     7.306277918570081e+04    -2.129776265811492e+05
   -1.553772831992236e+04     2.569858018791626e+05     9.960607732572666e+03    -8.207047339297933e+04
   -2.069069447518909e+03     9.392688282197727e+04     1.328624427353701e+03    -3.014229259682151e+04
   -2.751255803032834e+02     3.425777964848087e+04     1.767075335463783e+02    -1.100082553212721e+04
   -3.657655141499721e+01     1.249129065893094e+04     2.349307381994124e+01    -4.011534460335000e+03
   -4.862534038900822e+00     4.554486110796908e+03     3.123217856103624e+00    -1.462673362452836e+03
   -6.464213496231945e-01     1.660618643218002e+03     4.152042060442371e-01    -5.333068338400971e+02
   -8.592669116100400e-02     6.054867959546815e+02     5.519767866959679e-02    -1.944471431488452e+02
   -1.141395426989474e-02     2.207869595142982e+02     7.338035018694221e-03    -7.089113145949230e+01
   -1.508164195324225e-03     8.055575273372025e+01     9.755186371577616e-04    -2.583037302487413e+01
   -1.913738517796651e-04     2.951522815522122e+01     1.296002154544079e-04    -9.376270006378212e+00
   -1.774919765884570e-05     1.101184090070446e+01     1.604941909550027e-05    -3.446970226546104e+00
   -2.636634171792006e-07     3.161572777755021e+00     5.421813582989691e-07    -2.042299222653249e+00
    2    15     1.601767940704642e+05
   -2.703524319835728e+05     1.123075595283472e+05     5.350042922869226e+04     5.328211658562325e+04
   -9.356434578914900e+04     1.445897671219019e+05     4.100212181764019e+04    -1.841505731653905e+04
   -2.065312922187001e+04     7.823439465627717e+04     1.047334334363492e+04    -1.845416745864924e+04
   -4.079526205677131e+03     3.572944274484625e+04     2.128119871225179e+03    -9.197792120560949e+03
   -7.878027820667667e+02     1.578346927723723e+04     4.132087648398298e+02    -4.128963256574471e+03
   -1.514669122122054e+02     6.927706044029221e+03     7.952887758707516e+01    -1.817850196095971e+03
   -2.909703958808262e+01     3.036969796221203e+03     1.528079074130672e+01    -7.973766736195694e+02
   -5.588538408212697e+00     1.331036389659291e+03     2.935119059861098e+00    -3.495090168341490e+02
   -1.073189797099922e+00     5.833472157869685e+02     5.637395684940451e-01    -1.531744583664404e+02
   -2.059454462438908e-01     2.556817422155146e+02     1.082744804936059e-01    -6.712182572379126e+01
   -3.937860304792234e-02     1.121179493277981e+02     2.079565354768343e-02    -2.939924269841751e+01
   -7.387205093537825e-03     4.928300299709128e+01     3.993955855684405e-03    -1.284649312230424e+01
   -1.246295164609699e-03     2.191396271182843e+01     7.634114708543606e-04    -5.562647550836926e+00
   -1.159700831130521e-04     9.965604514487502e+00     1.146407092880542e-04    -2.572673341944408e+00
   -9.355796827656802e-07     3.145038541211152e+00     2.184467006656409e-06    -2.008216560524396e+00
    2    15     1.110657715232228e+03
   -2.102013583493623e+03     4.854486997637087e+02     1.378991690184070e+02     2.826512095221750e+02
   -1.426932638084718e+03     1.059889853957434e+03     2.485688765195191e+02     7.503355866571955e+01
   -7.373954335086265e+02     1.043612485056151e+03     1.763109435064582e+02    -6.244070835866666e+01
   -3.290209767739146e+02     7.877117552200033e+02     8.900682012933653e+01    -8.790616164206112e+01
   -1.372338807633277e+02     5.341329130011428e+02     3.900650802628571e+01    -7.081920632000730e+01
   -5.560171963187359e+01     3.468534670173635e+02     1.613305718034594e+01    -4.890285378312584e+01
   -2.223138070151641e+01     2.214122743727300e+02     6.518824995941943e+00    -3.193738790389188e+01
   -8.810308831015886e+00     1.404504350390194e+02     2.609625251922411e+00    -2.040404511970779e+01
   -3.447398125067049e+00     8.899174697876053e+01     1.040914809451731e+00    -1.290556079321114e+01
   -1.309501923286421e+00     5.655490167853964e+01     4.148036489526483e-01    -8.101505849609401e+00
   -4.573557444135257e-01     3.628965934123512e+01     1.653484677659098e-01    -5.026674034803303e+00
   -1.210035395684593e-01     2.380282928497694e+01     6.246784231319495e-02    -3.084578618700840e+00
